symbol,company_name,market_cap,price,volume,dollar_volume,exchange,exchange_short_name,country,sector,industry,is_etf,is_fund,is_actively_trading,reason,core_reason
TSM,Taiwan Semiconductor Manufacturing Company Limited,2096634540000,404.25,11904676,4812465273.00,New York Stock Exchange,NYSE,TW,Technology,Semiconductors,False,False,True,,non_us_company
SKHY,SK hynix Inc.,1020274409394,143.73,45673756,6564688949.88,NASDAQ,NASDAQ,KR,Technology,Semiconductors,False,False,True,,non_us_company
ASML,ASML Holding N.V.,627845907339,1629,1595937,2599781373,NASDAQ,NASDAQ,NL,Technology,Semiconductors,False,False,True,,non_us_company
HSBC,HSBC Holdings plc,365735742400,106.42,1346639,143309322.38,New York Stock Exchange,NYSE,GB,Financial Services,Banks - Diversified,False,False,True,,non_us_company
NVS,Novartis AG,296796622266,156.15,1265334,197581904.10,New York Stock Exchange,NYSE,CH,Healthcare,Drug Manufacturers - General,False,False,True,,non_us_company
BABA,Alibaba Group Holding Limited,293017630362,122.25,16933673,2070141524.25,New York Stock Exchange,NYSE,CN,Consumer Cyclical,Specialty Retail,False,False,True,,non_us_company
RY,Royal Bank of Canada,291172807800,209.51,787622,165014685.22,New York Stock Exchange,NYSE,CA,Financial Services,Banks - Diversified,False,False,True,,non_us_company
SHEL,Shell plc,256448978100,91.98,6598909,606967649.82,New York Stock Exchange,NYSE,GB,Energy,Oil & Gas Integrated,False,False,True,,non_us_company
MUFG,"Mitsubishi UFJ Financial Group, Inc.",253406507952,22.45,4723455,106041564.75,New York Stock Exchange,NYSE,JP,Financial Services,Banks - Diversified,False,False,True,,non_us_company
TM,Toyota Motor Corporation,223784050820,188.99,302148,57102950.52,New York Stock Exchange,NYSE,JP,Consumer Cyclical,Auto - Manufacturers,False,False,True,,non_us_company
LIN,Linde plc,221298588000,478.38,5213960,2494254184.80,NASDAQ Global Select,NASDAQ,GB,Basic Materials,Chemicals - Specialty,False,False,True,,non_us_company
BHP,BHP Group Limited,214633758513,84.49,1937455,163695572.95,New York Stock Exchange,NYSE,AU,Basic Materials,Industrial Materials,False,False,True,,non_us_company
SAP,SAP SE,213960480814,183.62,2895852,531736344.24,New York Stock Exchange,NYSE,DE,Technology,Software - Application,False,False,True,,non_us_company
NVO,Novo Nordisk A/S,209191020656,47.075,25172261,1184984186.575,New York Stock Exchange,NYSE,DK,Healthcare,Drug Manufacturers - General,False,False,True,,non_us_company
